dances+with+wolves+1990,FALSE,"Adventure, Drama, Western",181,7.6,English
man+on+a+mission+richard+garriotts+road+to+the+stars+2010,FALSE,Documentary,94,5,English
el+norte+1983,FALSE,"Thriller, Adventure, Drama",141,6.6,"English, Español"
despicable+me+2+2013,FALSE,"Animation, Comedy, Family",98,7,English
spider-man+3+2007,FALSE,"Fantasy, Action, Adventure",139,5.9,"English, Français"
howls+moving+castle+2004,FALSE,"Fantasy, Animation, Adventure",119,8.2,日本語
prisoner+701+sasori+2008,FALSE,"Action, Adventure, Drama, Foreign",101,5,"广州话 / 廣州話, 日本語"
the+sting+1973,FALSE,"Comedy, Crime, Drama",129,7.9,English
mr.+klein+1976,FALSE,"War, Mystery, Crime, Drama, Thriller",123,7.3,Français
the+good+lie+2014,FALSE,Drama,110,7.3,English
the+flight+before+christmas+2008,FALSE,"Animation, Family, Adventure, Drama, Fantasy",80,5.4,"English, suomi"
comes+a+bright+day+2012,FALSE,"Romance, Thriller",91,5.4,English
the+five+obstructions+2003,FALSE,"Drama, Documentary",90,6.7,"Dansk, English, Français, Español"
the+magical+legend+of+the+leprechauns+1999,FALSE,"Romance, Family, Fantasy",139,6.7,English
quantum+of+solace+2008,FALSE,"Adventure, Action, Thriller, Crime",106,6.1,"English, Español, Italiano, Français, Deutsch"
payback+1999,FALSE,"Drama, Action, Thriller, Crime",100,6.7,English
71+fragments+of+a+chronology+of+chance+1994,FALSE,Drama,100,7,"Română, Deutsch"
a+night+at+the+movies+the+horrors+of+stephen+king+2011,FALSE,"Documentary, TV Movie",58,7.7,
men+in+black+1997,FALSE,"Action, Adventure, Comedy, Science Fiction",98,6.9,"English, Español"
on+her+majestys+secret+service+1969,FALSE,"Adventure, Action, Thriller",142,6.5,"English, Deutsch"
i+am+trying+to+break+your+heart+2002,FALSE,"Music, Documentary",92,8,English
seventh+son+2014,FALSE,"Adventure, Fantasy",102,5.2,English
an+angel+at+my+table+1990,FALSE,Drama,158,6.9,English
a+tale+of+two+sisters+2003,FALSE,"Drama, Horror, Mystery",115,7,"한국어/조선말, Pусский"
gladiator+2000,FALSE,"Action, Drama, Adventure",155,7.9,English
beauty+and+the+beast+1991,FALSE,"Romance, Family, Animation, Fantasy, Music",84,7.5,"Français, English"
hunger+2009,FALSE,Horror,101,5.7,English
beautiful+thing+1996,FALSE,"Comedy, Drama, Romance",90,7.3,English
spirited+away+2001,FALSE,"Fantasy, Adventure, Animation, Family",125,8.3,日本語
focus+2001,FALSE,Drama,106,6.6,English
sexual+predator+2001,FALSE,"Drama, Thriller",85,5.3,English
tracers+2015,FALSE,"Action, Crime, Drama",94,5.9,English
don+camillo+1952,FALSE,Comedy,107,7.6,"Français, Italiano"
chungking+express+1994,FALSE,"Drama, Comedy, Romance",102,7.9,"广州话 / 廣州話, English, 日本語, 普通话"
beetlejuice+1988,FALSE,"Fantasy, Comedy",92,7.1,English
forrest+gump+1994,FALSE,"Comedy, Drama, Romance",142,8.2,English
blue+spring+2001,FALSE,"Thriller, Drama, Action",83,6.4,日本語
alices+adventures+in+wonderland+1972,FALSE,"Family, Fantasy, Music",101,5.6,English
snow+white+and+the+seven+dwarfs+1937,FALSE,"Fantasy, Animation, Family",83,6.9,English
the+adventures+of+tintin+2011,FALSE,"Adventure, Animation, Mystery",107,6.7,English
twilight+2008,FALSE,"Adventure, Fantasy, Drama, Romance",122,5.8,English
le+plaisir+1952,FALSE,Drama,97,6.8,Français
kiss+kiss+bang+bang+2005,FALSE,"Action, Comedy, Crime, Mystery",103,7.2,English
eddie+izzard+dress+to+kill+1999,FALSE,Comedy,114,8.1,"English, Français"
guardians+of+the+galaxy+2014,FALSE,"Action, Science Fiction, Adventure",121,7.9,English
village+of+the+damned+1995,FALSE,"Thriller, Horror, Science Fiction",99,5.6,English
happiness+1935,FALSE,Comedy,95,5.4,No Language
from+here+to+eternity+1953,FALSE,"War, Drama, Romance",118,7.2,English
the+straight+story+1999,FALSE,Drama,112,7.7,English
the+burning+bed+1984,FALSE,"TV Movie, Crime, Drama",100,6,English
love+in+the+afternoon+1957,FALSE,"Comedy, Drama, Romance",130,7.3,"English, Français"
prince+of+the+city+1981,FALSE,"Drama, Thriller, Crime",167,7.3,"English, Español, Italiano"
the+business+of+being+born+2008,FALSE,Documentary,87,7.3,English
dial+m+for+murder+1954,FALSE,"Crime, Mystery, Thriller",104,7.9,English
a+matter+of+life+and+death+1946,FALSE,"Fantasy, Drama, Romance",104,8,"English, Français, Pусский"
hori+smoku+sailor+jerry+2008,FALSE,Documentary,73,10,
a+grain+of+truth+2015,FALSE,"Mystery, Thriller",116,8,Polski
the+godfather+1972,FALSE,"Drama, Crime",175,8.5,"English, Italiano, Latin"
modern+boy+2008,FALSE,Drama,121,0,한국어/조선말
delicatessen+1991,FALSE,"Comedy, Science Fiction, Fantasy",99,7.4,Français
that+uncertain+feeling+1941,FALSE,"Comedy, Romance",84,7,English
night+across+the+street+2012,FALSE,,107,7.5,"Français, Español"
new+world+2013,FALSE,Thriller,134,7.2,한국어/조선말
but+im+a+cheerleader+1999,FALSE,Comedy,85,6.5,English
ratatouille+2007,FALSE,"Animation, Comedy, Family, Fantasy",111,7.5,English
